queryid,calls,total_exec_time,mean_exec_time,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,query
6195550807530596269,1,0.4816,0.4816,1,3,1,0,0,"SELECT
            roles.oid as id, roles.rolname as name,
            roles.rolsuper as is_superuser,
            CASE WHEN roles.rolsuper THEN $1 ELSE roles.rolcreaterole END as
            can_create_role,
            CASE WHEN roles.rolsuper THEN $2
            ELSE roles.rolcreatedb END as can_create_db,
            CASE WHEN $3=ANY(ARRAY(WITH RECURSIVE cte AS (
            SELECT pg_roles.oid,pg_roles.rolname FROM pg_roles
                WHERE pg_roles.oid = roles.oid
            UNION ALL
            SELECT m.roleid,pgr.rolname FROM cte cte_1
                JOIN pg_auth_members m ON m.member = cte_1.oid
                JOIN pg_roles pgr ON pgr.oid = m.roleid)
            SELECT rolname  FROM cte)) THEN $4
            ELSE $5 END as can_signal_backend
        FROM
            pg_catalog.pg_roles as roles
        WHERE
            rolname = current_user"
3446253728778910686,1,0.4441,0.4441,1,0,0,0,0,"SELECT count(*) AS pg_stat_statements_rows
FROM pg_stat_statements"
3318008918616571018,8,0.3881,0.04851250000000001,17,21,3,0,0,"SELECT oid, pg_catalog.format_type(oid, $2) AS typname FROM pg_catalog.pg_type WHERE oid = ANY($1) ORDER BY oid"
723080116808149895,1,0.11120000000000001,0.11120000000000001,1,0,0,0,0,"SELECT
             gss_authenticated, encrypted
        FROM
            pg_catalog.pg_stat_gssapi
        WHERE pid = pg_backend_pid()"
723080116808149895,1,0.09179999999999999,0.09179999999999999,1,0,0,0,0,"SELECT
             gss_authenticated, encrypted
        FROM
            pg_catalog.pg_stat_gssapi
        WHERE pid = pg_backend_pid()"
6195550807530596269,1,0.0757,0.0757,1,4,0,0,0,"SELECT
            roles.oid as id, roles.rolname as name,
            roles.rolsuper as is_superuser,
            CASE WHEN roles.rolsuper THEN $1 ELSE roles.rolcreaterole END as
            can_create_role,
            CASE WHEN roles.rolsuper THEN $2
            ELSE roles.rolcreatedb END as can_create_db,
            CASE WHEN $3=ANY(ARRAY(WITH RECURSIVE cte AS (
            SELECT pg_roles.oid,pg_roles.rolname FROM pg_roles
                WHERE pg_roles.oid = roles.oid
            UNION ALL
            SELECT m.roleid,pgr.rolname FROM cte cte_1
                JOIN pg_auth_members m ON m.member = cte_1.oid
                JOIN pg_roles pgr ON pgr.oid = m.roleid)
            SELECT rolname  FROM cte)) THEN $4
            ELSE $5 END as can_signal_backend
        FROM
            pg_catalog.pg_roles as roles
        WHERE
            rolname = current_user"
5051979035894942613,3,0.0504,0.0168,3,3,0,0,0,SELECT COUNT(*) FROM pg_extension WHERE extname = $1
602080821217516466,4,0.0404,0.010100000000000001,4,0,0,0,0,SELECT current_database()
-3688696628780506391,3,0.0329,0.010966666666666666,3,0,0,0,0,SELECT $1
-4643418664278280844,1,0.027200000000000002,0.027200000000000002,1,1,0,0,0,"SELECT
    db.oid as did, db.datname, db.datallowconn,
    pg_encoding_to_char(db.encoding) AS serverencoding,
    has_database_privilege(db.oid, $1) as cancreate,
    datistemplate
FROM
    pg_catalog.pg_database db
WHERE db.datname = current_database()"
-1256420371218150429,2,0.0271,0.01355,2,2,0,0,0,"SELECT extname, extversion
FROM pg_extension
WHERE extname = $1"
-4643418664278280844,1,0.0208,0.0208,1,1,0,0,0,"SELECT
    db.oid as did, db.datname, db.datallowconn,
    pg_encoding_to_char(db.encoding) AS serverencoding,
    has_database_privilege(db.oid, $1) as cancreate,
    datistemplate
FROM
    pg_catalog.pg_database db
WHERE db.datname = current_database()"
-86323926068950410,1,0.019899999999999998,0.019899999999999998,1,0,0,0,0,SELECT version()
-1806964954713279221,1,0.0174,0.0174,1,1,0,0,0,"SELECT CASE WHEN usesuper
       THEN pg_catalog.pg_is_in_recovery()
       ELSE $1
       END as inrecovery,
       CASE WHEN usesuper AND pg_catalog.pg_is_in_recovery()
       THEN pg_is_wal_replay_paused()
       ELSE $2
       END as isreplaypaused
FROM pg_catalog.pg_user WHERE usename=current_user"
6039773827682666654,4,0.0167,0.004175,0,0,0,0,0,SHOW server_version
-8873911804314169340,1,0.014,0.014,0,0,0,0,0,SET DateStyle=$1
4999884173844161568,4,0.0121,0.003025,4,0,0,0,0,SELECT current_user
-8873911804314169340,1,0.0108,0.0108,0,0,0,0,0,SET DateStyle=$1
4359259187362990377,1,0.0082,0.0082,0,0,0,0,0,SET client_encoding=$1
-7891584619504183020,4,0.0074,0.00185,0,0,0,0,0,SHOW config_file
3899954808500938091,4,0.0073,0.0018249999999999998,0,0,0,0,0,SHOW data_directory
985182613339288046,4,0.0072,0.0018,0,0,0,0,0,SHOW hba_file
-7556750615580075877,4,0.0070999999999999995,0.0017749999999999999,0,0,0,0,0,SHOW port
4359259187362990377,1,0.0061,0.0061,0,0,0,0,0,SET client_encoding=$1
-4664818520581223344,4,0.0057,0.001425,0,0,0,0,0,SHOW listen_addresses
-3669134851575249393,4,0.0057,0.001425,0,0,0,0,0,SHOW ident_file
-86323926068950410,1,0.0049,0.0049,1,0,0,0,0,SELECT version()
6097083398544187049,2,0.0045,0.00225,0,0,0,0,0,COMMIT
-8370928913120278298,1,0.0043,0.0043,0,0,0,0,0,SET client_min_messages=$1
-8370928913120278298,1,0.0038,0.0038,0,0,0,0,0,SET client_min_messages=$1
-7676915344437841334,1,0.0025,0.0025,0,0,0,0,0,ROLLBACK
