"category","subcategory","layer_name","description","geometry_type","source_provider","source_type","endpoint_url","ingestion_method","priority","region_scope","notes"
"Archaeology","unesco_sites","hessen_grube_messel_core_zone","UNESCO World Natural Heritage Fossil Site Messel core zone in Hessen","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Aweltnaturerbe_grubemessel/items?f=json","postgis","high","regional","OGC API Features collection denkx:weltnaturerbe_grubemessel"
"Historical Maps","military_maps","nrw_tranchot_1801_1828","Georeferenced Tranchot and von Mueffling maps for NRW from 1801 to 1828","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_tranchot?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_tranchot"
"Historical Maps","military_maps","nrw_preussische_uraufnahme_1836_1850","Prussian first survey maps for NRW from 1836 to 1850","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_uraufnahme?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_uraufnahme_rw"
"Historical Maps","military_maps","nrw_preussische_neuaufnahme_1891_1912","Prussian new survey maps for NRW from 1891 to 1912","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_neuaufnahme?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_neuaufnahme"
"Historical Maps","military_maps","nrw_tk25_1936_1945","Historic topographic map TK25 for NRW from 1936 to 1945","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_tk25_1936-1945?SERVICE=WMS&REQUEST=GetCapabilities","tile","medium","regional","WMS layer nw_tk25_1936-1945"
"Terrain","elevation_dem","esri_world_elevation_terrain","Global terrain elevation service usable through Esri REST export and identify operations","raster","Esri","REST","https://elevation.arcgis.com/arcgis/rest/services/WorldElevation/Terrain/ImageServer","external","high","global","ArcGIS ImageServer terrain service"
"Terrain","elevation_dem","mapzen_terrarium_dem_tiles","Global Terrarium encoded elevation tiles for client terrain sampling","raster","AWS Open Terrain Tiles","XYZ","https://s3.amazonaws.com/elevation-tiles-prod/terrarium/{z}/{x}/{y}.png","tile","high","global","Terrarium PNG elevation tiles"
"Terrain","hillshade","esri_world_hillshade_tiles","Global hillshade map tiles for relief visualization","raster","Esri","XYZ","https://server.arcgisonline.com/ArcGIS/rest/services/Elevation/World_Hillshade/MapServer/tile/{z}/{y}/{x}","tile","critical","global","XYZ tile order z y x follows ArcGIS tile service"
"Terrain","hillshade","nrw_dgm_hillshade_wms","NRW hillshade derived from the official digital terrain model","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_dgm-schummerung?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_dgm-schummerung_pan"
"Terrain","slope","nrw_dgm_slope_wms","NRW terrain slope map from official elevation data","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_gelaendeneigung?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_gelaendeneigung_20"
"Terrain","slope","esri_world_elevation_slope_degrees","Global slope raster generated from the Esri WorldElevation terrain ImageServer","raster","Esri","REST","https://elevation.arcgis.com/arcgis/rest/services/WorldElevation/Terrain/ImageServer","external","medium","global","Use ArcGIS raster function Slope_Degrees"
"Terrain","lidar","nrw_ndom50_lidar_surface_height","Normalized digital surface model for NRW useful for lidar derived microrelief screening","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_ndom?SERVICE=WMS&REQUEST=GetCapabilities","tile","high","regional","WMS layer nw_ndom"
"Terrain","lidar","bavaria_dgm1","Bavarian 1 m digital terrain model from airborne LiDAR for terrain analysis and derivative raster products","raster","Bayerische Vermessungsverwaltung","FILE","https://www.geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=dgm1","external","critical","regional","OpenData DGM1 download page; raw raster source for Bavaria."
"Terrain","lidar","bavaria_dgm5","Bavarian 5 m digital terrain model derived from the LiDAR elevation program for lighter terrain analysis","raster","Bayerische Vermessungsverwaltung","FILE","https://www.geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=dgm5","external","high","regional","OpenData DGM5 download page; downsampled raster source for Bavaria."
"Terrain","lidar","bavaria_hillshade","Bavarian hillshade raster derived from DGM1 for relief visualization and scanning subtle terrain features","raster","Bayerische Vermessungsverwaltung","FILE","https://www.geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=dgm1","raster_derived","high","regional","Derived from DGM1 when raster processing is enabled."
"Terrain","lidar","bavaria_slope","Bavarian slope raster derived from DGM1 for access and terrain steepness screening","raster","Bayerische Vermessungsverwaltung","FILE","https://www.geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=dgm1","raster_derived","high","regional","Derived from DGM1 when raster processing is enabled."
"Terrain","lidar","bavaria_local_relief_model","Bavarian local relief model derived from DGM1 for microtopography and earthwork screening","raster","Bayerische Vermessungsverwaltung","FILE","https://www.geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=dgm1","raster_derived","medium","regional","Derived from DGM1 when raster processing is enabled."
"Hydrology","rivers","osm_rivers","Major rivers from OpenStreetMap waterway relations and ways","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags waterway=river or waterway=riverbank"
"Hydrology","rivers","eea_european_main_rivers","European river network layer from the EEA WaterGlobal dynamic service","line","European Environment Agency","REST","https://water.discomap.eea.europa.eu/arcgis/rest/services/Water/WaterGlobal_Dyna_WGS84/MapServer/7","postgis","high","eu","ArcGIS REST layer for river lines"
"Hydrology","streams","osm_streams","Streams drains ditches and minor waterways from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags waterway=stream or waterway=ditch or waterway=drain"
"Hydrology","wetlands","osm_wetlands","Wetlands marshes reedbeds and bogs from OpenStreetMap","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags natural=wetland and wetland=*"
"Hydrology","flood_zones","eea_potential_flood_prone_area","Potential flood prone areas from the EEA flood service","polygon","European Environment Agency","REST","https://water.discomap.eea.europa.eu/arcgis/rest/services/Flood/Potential_flood_prone_area/MapServer/0","postgis","high","eu","ArcGIS REST layer 0"
"Soil & Geology","soil_types","isric_wrb_most_probable","Most probable World Reference Base soil group from SoilGrids","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/wrb.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","critical","global","WMS layer MostProbable"
"Soil & Geology","soil_types","isric_wrb_fluvisols_probability","Probability of Fluvisols for floodplain and ancient watercourse analysis","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/wrb.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","high","global","WMS layer Fluvisols"
"Soil & Geology","soil_types","bgr_soil_potential","Soil potential mapping from the German Federal Institute for Geosciences and Natural Resources","raster","BGR","REST","https://services.bgr.de/arcgis/rest/services/boden/bodenpotenziale/MapServer","external","medium","regional","ArcGIS REST soil potentials service"
"Soil & Geology","soil_types","bgr_soil_trace_elements","Soil trace element and substance mapping for geochemical screening","raster","BGR","REST","https://services.bgr.de/arcgis/rest/services/boden/bodenstoffe/MapServer","external","medium","regional","ArcGIS REST soil substances service"
"Soil & Geology","geology","bgr_guek250_geology","Geological map of Germany 1 to 250000 for bedrock and surface geology","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/guek250/MapServer","postgis","critical","regional","ArcGIS REST service GUEK250 with polygon layers"
"Soil & Geology","geology","bgr_guek250_faults","Fault and tectonic linework from the German geological map 1 to 250000","line","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/guek250/MapServer","postgis","high","regional","Use tectonic and fault line layers from GUEK250 service"
"Soil & Geology","geology","bgr_onegeology_surface_lithology","OneGeology surface geology from BGR for lithology context","polygon","BGR OneGeology","REST","https://services.bgr.de/arcgis/rest/services/geologie/BGR_EN_Surface_Geology/MapServer","postgis","medium","global","ArcGIS REST surface geology service"
"Soil & Geology","geology","bgr_igme5000_europe_geology","International Geological Map of Europe 1 to 5000000 for continental context","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/igme5000/MapServer","postgis","medium","eu","ArcGIS REST IGME5000 service"
"Soil & Geology","mineralisation","bgr_kor250_mineral_resources","Mineral resource map of Germany 1 to 250000 for raw material context","polygon","BGR","REST","https://services.bgr.de/arcgis/rest/services/inspire_mr/kor250/MapServer","postgis","high","regional","INSPIRE Mineral Resources KOR250 REST service"
"Soil & Geology","mineralisation","bgr_geoscientific_mineral_sites","Mineral related geoscientific collection and occurrence records from BGR","point","BGR","REST","https://services.bgr.de/arcgis/rest/services/geologie/gewis/MapServer","postgis","medium","regional","ArcGIS REST GEWIS service"
"Soil & Geology","mineralisation","soilgrids_ph_topsoil","Topsoil pH in water from SoilGrids for corrosion and preservation modelling","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/phh2o.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","medium","global","WMS layer phh2o_0-5cm_mean"
"Soil & Geology","mineralisation","soilgrids_clay_topsoil","Topsoil clay fraction from SoilGrids for soil texture and drainage inference","raster","ISRIC SoilGrids","WMS","https://maps.isric.org/mapserv?map=/map/clay.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities","tile","medium","global","WMS layer clay_0-5cm_mean"
"Legal / Restrictions","protected_areas","unep_wcmc_wdpca_polygons","World Database on Protected Areas polygons for global restriction screening","polygon","UNEP WCMC IUCN","REST","https://data-gis.unep-wcmc.org/server/rest/services/ProtectedPlanet/WDPCA/MapServer/1","postgis","medium","global","ArcGIS REST protected area polygon layer"
"Legal / Restrictions","archaeological_protection","hessen_area_monuments","Protected area monuments from the Hessen DenkX service","polygon","Landesamt fuer Denkmalpflege Hessen","REST","https://www.geoportal.hessen.de/spatial-objects/342/collections/denkx%3Aflaechendenkmal/items?f=json","postgis","critical","regional","OGC API Features collection denkx:flaechendenkmal"
"Legal / Restrictions","natura2000","eea_natura2000_habitats_directive","Natura 2000 Habitats Directive sites from the EEA Bio service","polygon","European Environment Agency","REST","https://bio.discomap.eea.europa.eu/arcgis/rest/services/Bio/Natura2000_Dyna_WM/MapServer/1","postgis","high","eu","ArcGIS REST Natura 2000 layer 1"
"Legal / Restrictions","natura2000","eea_natura2000_birds_directive","Natura 2000 Birds Directive sites from the EEA Bio service","polygon","European Environment Agency","REST","https://bio.discomap.eea.europa.eu/arcgis/rest/services/Bio/Natura2000_Dyna_WM/MapServer/5","postgis","high","eu","ArcGIS REST Natura 2000 layer 5"
"Infrastructure","roads","osm_roads","Road network from OpenStreetMap for approach planning and access modelling","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags highway=* excluding highway=proposed"
"Infrastructure","roads","osm_tracks_paths","Tracks paths service roads and field access ways from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags highway=track or highway=path or highway=service"
"Infrastructure","railways","osm_railways","Railway infrastructure from OpenStreetMap","line","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags railway=rail or railway=tram or railway=disused"
"Infrastructure","settlements_modern","osm_modern_settlements","Modern populated places and settlement polygons from OpenStreetMap","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","critical","global","Overpass tags place=* or landuse=residential"
"Infrastructure","settlements_modern","natural_earth_populated_places","Global populated place points from Natural Earth for low zoom context","point","Natural Earth","FILE","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_populated_places.zip","postgis","medium","global","Downloadable shapefile ZIP"
"Remote Sensing","satellite_imagery","sentinel2_eox_cloudless_2020","Sentinel 2 cloudless global mosaic served as WMTS tiles","raster","EOX","WMTS","https://tiles.maps.eox.at/wmts/1.0.0/WMTSCapabilities.xml","tile","high","global","WMTS layer s2cloudless-2020_3857"
"Remote Sensing","satellite_imagery","nasa_gibs_modis_truecolor","MODIS Terra corrected reflectance true color imagery through NASA GIBS WMTS","raster","NASA GIBS","WMTS","https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/wmts.cgi?SERVICE=WMTS&REQUEST=GetCapabilities","tile","medium","global","WMTS layer MODIS_Terra_CorrectedReflectance_TrueColor"
"Remote Sensing","satellite_imagery","copernicus_clc2018_land_cover","Copernicus CORINE Land Cover 2018 pan European land cover polygons","polygon","Copernicus Land Monitoring Service","REST","https://image.discomap.eea.europa.eu/arcgis/rest/services/Corine/CLC2018_WM/MapServer/0","postgis","critical","eu","ArcGIS REST layer 0"
"Remote Sensing","satellite_imagery","eea_corine_change_2012_2018","CORINE land cover change between 2012 and 2018 for disturbance screening","polygon","Copernicus Land Monitoring Service","REST","https://image.discomap.eea.europa.eu/arcgis/rest/services/Corine/CHA2012_2018_WM/MapServer/0","postgis","medium","eu","ArcGIS REST layer 0"
"Remote Sensing","aerial_photography","nrw_historic_dop_wms","Historic digital orthophotos for NRW from Geobasis NRW","raster","Geobasis NRW","WMS","https://www.wms.nrw.de/geobasis/wms_nw_hist_dop?SERVICE=WMS&REQUEST=GetCapabilities","tile","medium","regional","WMS layer nw_hist_dop_1951"
"Derived Analytics","proximity_to_roads","derived_distance_to_osm_roads","Distance raster from roads tracks and paths for detecting access bias and survey effort","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from osm_roads and osm_tracks_paths with ST_Distance or raster distance transform"
"Derived Analytics","proximity_to_roads","derived_distance_to_roman_roads","Distance raster from Roman roads for historical movement corridor analysis","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","high","local","Derived from dai_barrington_atlas_roman_roads and osm_roman_roads"
"Derived Analytics","proximity_to_water","derived_distance_to_waterways","Distance raster from rivers streams wetlands and water axes","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from osm_rivers osm_streams and state hydrology layers"
"Derived Analytics","proximity_to_water","derived_floodplain_edge_distance","Distance to flood zone boundaries and wetland edges for settlement suitability modelling","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","high","local","Derived from eea_potential_flood_prone_area and osm_wetlands"
"Derived Analytics","slope_accessibility","derived_slope_accessibility_index","Accessibility index combining slope classes distance to tracks and water barriers","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from terrain slope rasters and infrastructure layers"
"Derived Analytics","slope_accessibility","derived_lidar_microrelief_anomaly","Local relief anomaly raster for mounds ditches terraces and subtle earthworks","raster","surveycatalyst_postgis","FILE","derived","postgis_derived","high","local","Derived from available elevation sources after raster ingestion"
"Derived Analytics","land_use_agriculture","derived_agricultural_candidate_zones","Survey candidate polygons where agricultural land intersects suitable terrain and low legal conflict","polygon","surveycatalyst_postgis","FILE","derived","postgis_derived","critical","local","Derived from copernicus_clc2018_land_cover OSM landuse and legal restriction overlays"
"Base Maps","osm","osm_standard_tiles","OpenStreetMap standard raster tile basemap","raster","OpenStreetMap","XYZ","https://{a-c}.tile.openstreetmap.org/{z}/{x}/{y}.png","tile","critical","global","Use according to OpenStreetMap tile usage policy"
"Base Maps","esri_world_imagery","esri_world_imagery_tiles","Esri World Imagery tiled basemap","raster","Esri","XYZ","https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x}","tile","critical","global","XYZ tile order z y x follows ArcGIS tile service"
"Base Maps","esri_topo","esri_world_topo_tiles","Esri World Topographic Map tiled basemap","raster","Esri","XYZ","https://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x}","tile","high","global","XYZ tile order z y x follows ArcGIS tile service"
"Base Maps","carto_light","carto_light_all_tiles","Carto light raster basemap for neutral survey overlays","raster","CARTO","XYZ","https://{a-c}.basemaps.cartocdn.com/light_all/{z}/{x}/{y}.png","tile","high","global","No API key required for standard public tiles"
"Base Maps","carto_dark","carto_dark_all_tiles","Carto dark raster basemap for high contrast overlays","raster","CARTO","XYZ","https://{a-c}.basemaps.cartocdn.com/dark_all/{z}/{x}/{y}.png","tile","medium","global","No API key required for standard public tiles"
"Administrative","state_boundaries","de_state_boundaries_bkg","German federal state boundaries from official BKG administrative units for state-aware layer activation.","polygon","BKG","WFS","https://sgx.geodatenzentrum.de/wfs_vg250","postgis","critical","regional","Use VG250_LAN layer for Bundeslaender boundaries."
"Administrative","boundaries","bkg_vg250_boundaries","BKG VG250 administrative boundaries for Bavaria-aware state, district, and municipality context.","polygon","BKG","WFS","https://sgx.geodatenzentrum.de/wfs_vg250","postgis","critical","regional","Prefer VG250_LAN/VG250_KRS/VG250_GEM when available; seeded from state boundary proxy until official vector fetch is enabled."
"Administrative","boundaries","bkg_vg25_boundaries","BKG VG25 administrative boundaries for higher-resolution local boundary context.","polygon","BKG","WFS","https://sgx.geodatenzentrum.de/wfs_vg250","postgis","high","regional","Use the same BKG administrative source family for local boundary refinement; seeded from state boundary proxy until official vector fetch is enabled."
"Administrative","district_boundaries","de_district_boundaries_bkg","German district boundaries from BKG for district-level operational planning and reporting.","polygon","BKG","WFS","https://sgx.geodatenzentrum.de/wfs_vg250","postgis","high","regional","Use VG250_KRS layer for Kreis boundaries."
"Administrative","municipality_boundaries","de_municipality_boundaries_bkg","German municipality boundaries from BKG for local context and permit routing.","polygon","BKG","WFS","https://sgx.geodatenzentrum.de/wfs_vg250","postgis","high","regional","Use VG250_GEM layer for municipal boundaries."
"Historical GIS","roman_empire_boundaries","dare_roman_empire_boundaries","Roman Empire provincial and imperial boundary vectors from DARE geospatial resources for temporal context.","polygon","Digital Atlas of the Roman Empire","FILE","https://dare.ht.lu.se/","postgis","medium","eu","Use published downloadable boundary datasets where licensing allows ingestion."
"Historical GIS","pleiades_places","pleiades_ancient_places","Ancient place gazetteer points from Pleiades for linking modern observations to historical toponyms.","point","Pleiades","REST","https://pleiades.stoa.org/","postgis","medium","global","Ingest place coordinates and identifiers from Pleiades exports/APIs."
"Detection Intelligence","search_visibility","osm_visibility_obstacles","Visibility and movement obstacles (dense woodland, hedges, walls, embankments) extracted from OpenStreetMap for search-planning constraints.","polygon","OpenStreetMap","OSM","https://overpass-api.de/api/interpreter","postgis","high","global","Overpass tags natural=wood, landuse=forest, barrier=hedge or wall, and embankment-related features."
